,name,resource,category,homepage,description,projectrank,show,labels,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,projectrank_placing,trending,pypi_id,pypi_url,pypi_monthly_downloads,conda_id,updated_github_id,conda_url,gitlab_id,gitlab_url
57,Jesse,,bots-frameworks,https://github.com/jesse-ai/jesse,An advanced crypto trading bot written in Python.,21,True,['python'],jesse-ai/jesse,,https://github.com/jesse-ai/jesse,MIT,2018-11-09 10:38:44,2024-01-19 04:26:02,2024-01-01 11:53:06,2128.0,17.0,634.0,184.0,313.0,2.0,95.0,5041.0,,,,,,6.0,6.0,45.0,,,2.0,,,,,,,,,
58,Crypto Signal,,bots-frameworks,https://github.com/CryptoSignal/Crypto-Signal,"Github.com/CryptoSignal - Trading & Technical Analysis Bot - 4,100+ stars, 1,100+ forks.",20,False,['python'],CryptoSignal/Crypto-Signal,,https://github.com/CryptoSignal/Crypto-Signal,MIT,2017-09-16 23:49:24,2024-01-26 09:49:03,2022-08-09 13:26:32,565.0,,1151.0,306.0,208.0,59.0,208.0,4610.0,,,,,,,,28.0,,,3.0,,,,,,,,,
59,TechnicalIndicators,,ta,https://github.com/anandanand84/technicalindicators,A javascript technical indicators written in typescript with pattern recognition right in the browser.,20,False,['js'],anandanand84/technicalindicators,,https://github.com/anandanand84/technicalindicators,MIT,2016-05-02 19:16:32,2022-11-03 08:42:59,2020-03-16 01:15:10,316.0,,506.0,89.0,63.0,75.0,127.0,2069.0,2018-09-26 14:22:17,2.0,,,1.0,1271.0,1271.0,17.0,,,3.0,,,,,,,,,
60,CryptoCurrency eXchange WebSockets,,libraries-api,https://github.com/altangent/ccxws,WebSocket client for 38 cryptocurrency exchanges.,20,False,['nodejs'],altangent/ccxws,,https://github.com/altangent/ccxws,MIT,2018-04-13 21:46:54,2023-03-04 02:38:34,2021-10-08 13:00:02,875.0,,171.0,22.0,150.0,52.0,118.0,624.0,2021-10-08 13:03:00,0.47.0,,,65.0,122.0,122.0,32.0,,,2.0,,,,,,,,,
61,Block Atlas by Trust Wallet,,libraries-api,https://github.com/trustwallet/blockatlas,Clean and lightweight cross-chain transaction API.,20,False,['go'],trustwallet/blockatlas,,https://github.com/trustwallet/blockatlas,MIT,2019-03-13 04:30:13,2022-03-16 08:35:35,2022-03-16 08:35:31,1187.0,,212.0,34.0,957.0,,486.0,368.0,2020-11-24 01:11:06,1.1.14,46.0,0.0,37.0,13.0,13.0,44.0,,,2.0,,,,,,,,,
62,Blackbird,,bots-frameworks,https://github.com/butor/blackbird,Blackbird Bitcoin Arbitrage: a long/short market-neutral strategy.,19,False,['cplusplus'],butor/blackbird,,https://github.com/butor/blackbird,MIT,2015-03-09 00:21:13,2023-12-05 20:48:04,2020-08-26 13:59:01,514.0,,1050.0,389.0,96.0,218.0,232.0,5834.0,,,,,,1.0,1.0,46.0,,,3.0,,,,,,,,,
63,K,,bots-frameworks,https://github.com/ctubio/Krypto-trading-bot,Self-hosted crypto trading bot (automated high frequency market making) written in C++.,19,False,['cplusplus'],ctubio/Krypto-trading-bot,,https://github.com/ctubio/Krypto-trading-bot,,2017-06-13 20:15:54,2022-09-18 23:11:54,2021-12-08 19:01:54,5345.0,,777.0,237.0,117.0,74.0,946.0,3194.0,2021-01-15 05:27:12,0.6.x,4549.0,56.0,5.0,,,56.0,,,3.0,,,,,,,,,
64,Kelp,,bots-frameworks,https://github.com/stellar/kelp,Kelp is a free and open-source trading bot for the Stellar DEX and 100+ centralized exchanges.,18,False,['go'],stellar/kelp,,https://github.com/stellar/kelp,,2018-08-08 23:31:18,2023-11-03 05:46:15,2021-11-26 23:51:20,833.0,,230.0,67.0,330.0,150.0,289.0,1052.0,2021-11-05 20:56:13,1.12.0,193395.0,2930.0,25.0,1.0,1.0,15.0,,,3.0,-1.0,,,,,,,,
65,Node Binance Trader NBT,,bots-frameworks,https://github.com/bitcoinvsalts/node-binance-trader,Cryptocurrency Trading Strategy & Portfolio Management Development Framework for Binance.,17,False,['nodejs'],bitcoinvsalts/node-binance-trader,,https://github.com/bitcoinvsalts/node-binance-trader,MIT,2018-01-17 21:32:47,2023-07-19 13:41:30,2023-01-24 03:20:17,514.0,,367.0,86.0,75.0,4.0,58.0,1147.0,2022-04-19 22:57:14,0.6.0,144.0,2.0,12.0,,,27.0,,,3.0,,,,,,,,,
66,pyti,,ta,https://github.com/kylejusticemagnuson/pyti,Python library of various financial technical indicators.,17,False,['python'],kylejusticemagnuson/pyti,,https://github.com/kylejusticemagnuson/pyti,MIT,2017-02-09 00:14:18,2020-10-21 17:22:54,2018-05-08 15:00:01,130.0,,160.0,50.0,15.0,12.0,8.0,643.0,2018-05-08 15:21:50,0.2.2,,,7.0,162.0,162.0,5.0,,,3.0,,,,,,,,,
