,name,resource,category,homepage,description,projectrank,show,labels,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,github_release_downloads,trending,pypi_id,conda_id,updated_github_id,pypi_url,pypi_monthly_downloads,conda_url,gitlab_id,gitlab_url
59,TechnicalIndicators,,ta,https://github.com/anandanand84/technicalindicators,A javascript technical indicators written in typescript with pattern recognition right in the browser.,20,False,['js'],anandanand84/technicalindicators,,https://github.com/anandanand84/technicalindicators,MIT,2016-05-02 19:16:32,2022-11-03 08:42:59,2020-03-16 01:15:10,316.0,,551.0,97.0,64.0,76.0,127.0,2354.0,2018-09-26 14:22:17,2.0,1.0,2400.0,2400.0,17.0,,,,2.0,,,,,,,,,,
60,Block Atlas by Trust Wallet,,libraries-api,https://github.com/trustwallet/blockatlas,Clean and lightweight cross-chain transaction API.,20,False,['go'],trustwallet/blockatlas,,https://github.com/trustwallet/blockatlas,MIT,2019-03-13 04:30:13,2022-03-16 08:35:35,2022-03-16 08:35:31,1187.0,,209.0,32.0,957.0,,486.0,376.0,2020-11-24 01:11:06,1.1.14,37.0,17.0,17.0,46.0,,,1.0,3.0,76.0,,,,,,,,,
61,Crypto Signal,,bots-frameworks,https://github.com/CryptoSignal/Crypto-Signal,"Github.com/CryptoSignal - Trading & Technical Analysis Bot - 4,100+ stars, 1,100+ forks.",19,False,['python'],CryptoSignal/Crypto-Signal,,https://github.com/CryptoSignal/Crypto-Signal,MIT,2017-09-16 23:49:24,2024-07-07 15:33:11,2022-08-09 13:26:32,565.0,,1238.0,306.0,210.0,51.0,224.0,5297.0,,,,,,28.0,,,,3.0,,,,,,,,,,
62,K,,bots-frameworks,https://github.com/ctubio/Krypto-trading-bot,Self-hosted crypto trading bot (automated high frequency market making) written in C++.,19,False,['cplusplus'],ctubio/Krypto-trading-bot,,https://github.com/ctubio/Krypto-trading-bot,,2017-06-13 20:15:54,2024-12-15 15:26:06,2024-12-15 14:55:22,5432.0,,808.0,241.0,118.0,62.0,961.0,3597.0,2024-09-17 14:54:14,0.7.x,6.0,,,57.0,,,109.0,3.0,10879.0,,,,,,,,,
63,Kelp,,bots-frameworks,https://github.com/stellar-deprecated/kelp,Kelp is a free and open-source trading bot for the Stellar DEX and 100+ centralized exchanges.,19,False,['go'],stellar/kelp,,https://github.com/stellar-deprecated/kelp,,2018-08-08 23:31:18,2023-11-03 05:46:15,2021-11-26 23:51:20,833.0,,263.0,66.0,330.0,150.0,289.0,1118.0,2021-11-05 20:56:13,1.12.0,25.0,1.0,1.0,15.0,,,2456.0,3.0,208795.0,,,,stellar-deprecated/kelp,,,,,
64,CryptoCurrency eXchange WebSockets,,libraries-api,https://github.com/altangent/ccxws,WebSocket client for 38 cryptocurrency exchanges.,19,False,['nodejs'],altangent/ccxws,,https://github.com/altangent/ccxws,MIT,2018-04-13 21:46:54,2024-08-15 09:14:45,2021-10-08 13:00:02,875.0,,170.0,20.0,150.0,52.0,118.0,635.0,2021-10-08 13:03:00,0.47.0,65.0,132.0,132.0,32.0,,,,3.0,,,,,,,,,,
65,Node Binance Trader NBT,,bots-frameworks,https://github.com/bitcoinvsalts/node-binance-trader,Cryptocurrency Trading Strategy & Portfolio Management Development Framework for Binance.,17,False,['nodejs'],bitcoinvsalts/node-binance-trader,,https://github.com/bitcoinvsalts/node-binance-trader,MIT,2018-01-17 21:32:47,2024-08-19 19:20:27,2024-08-19 19:20:25,520.0,,364.0,84.0,77.0,2.0,60.0,1208.0,2022-04-19 22:57:14,0.6.0,12.0,,,27.0,,,2.0,3.0,181.0,,,,,,,,,
66,pyti,,ta,https://github.com/kylejusticemagnuson/pyti,Python library of various financial technical indicators.,17,False,['python'],kylejusticemagnuson/pyti,,https://github.com/kylejusticemagnuson/pyti,MIT,2017-02-09 00:14:18,2020-10-21 17:22:54,2018-05-08 15:00:01,130.0,,157.0,49.0,15.0,12.0,9.0,662.0,2018-05-08 15:21:50,0.2.2,7.0,189.0,189.0,5.0,,,,3.0,,,,,,,,,,
67,Crypto Trading Bot,,bots-frameworks,https://github.com/Haehnchen/crypto-trading-bot,"Cryptocurrency trading bot in javascript for Bitfinex, Bitmex, Binance, Bybit ... (public edition).",16,True,['nodejs'],Haehnchen/crypto-trading-bot,,https://github.com/Haehnchen/crypto-trading-bot,MIT,2018-09-25 15:48:11,2024-10-03 08:14:22,2024-10-03 08:14:19,919.0,,946.0,185.0,134.0,105.0,102.0,3355.0,,,,,,16.0,,,,3.0,,,,,,,,,,
68,binance-java-api,,libraries-api,https://github.com/binance-exchange/binance-java-api,"binance-java-api is a lightweight Java library for the Binance API, supporting synchronous and asynchronous requests,..",16,False,['java'],binance-exchange/binance-java-api,,https://github.com/binance-exchange/binance-java-api,MIT,2017-10-20 11:23:10,2023-10-27 07:16:28,2023-10-27 07:16:23,209.0,,613.0,96.0,139.0,114.0,184.0,827.0,,,,,,44.0,,,,3.0,,,,,,,,,,
69,Coinnect,,libraries-api,https://github.com/hugues31/coinnect,Coinnect is a Rust library aiming to provide a complete access to main crypto currencies exchanges via REST API.,16,False,['rust'],hugues31/coinnect,,https://github.com/hugues31/coinnect,MIT,2017-02-14 23:22:33,2021-11-30 20:49:56,2021-11-30 20:49:56,220.0,,43.0,14.0,50.0,6.0,21.0,154.0,2018-03-25 17:49:34,0.5.10,13.0,15.0,15.0,12.0,,,,3.0,,,,,,,,,,
70,Techan,,ta,https://github.com/sdcoffey/techan,Technical Analysis Library for Golang.,15,False,['go'],sdcoffey/techan,,https://github.com/sdcoffey/techan,MIT,2017-03-08 03:04:08,2023-09-13 21:16:18,2021-11-17 16:09:20,165.0,,149.0,51.0,25.0,14.0,19.0,871.0,2018-04-12 18:41:52,0.3.0,4.0,,,9.0,,,,3.0,,,,,,,,,,
71,Qt Bitcoin Trader,,bots-frameworks,https://github.com/JulyIghor/QtBitcoinTrader,Secure multi crypto exchange trading client.,15,False,['cplusplus'],JulyIghor/QtBitcoinTrader,,https://github.com/JulyIghor/QtBitcoinTrader,,2013-05-14 21:16:29,2025-06-25 18:26:27,2025-06-25 18:26:24,348.0,22.0,370.0,104.0,41.0,51.0,193.0,766.0,2023-05-25 21:38:13,1.42.21,41.0,,,11.0,,,2.0,3.0,343.0,-1.0,,,,,,,,
72,crypto-exchanges-gateway,,libraries-api,https://github.com/aloysius-pgast/crypto-exchanges-gateway,Your gateway to the world of crypto !.,15,False,['nodejs'],aloysius-pgast/crypto-exchanges-gateway,,https://github.com/aloysius-pgast/crypto-exchanges-gateway,,2017-09-15 12:25:00,2025-09-02 07:35:46,2023-11-11 22:18:19,582.0,,151.0,39.0,326.0,1.0,42.0,605.0,2023-11-11 22:34:16,1.13.2,44.0,,,4.0,,,,3.0,,,,,,,,,,
